index,area_string,posted,neighborhood,post title,number_bedrooms,sqft,URL,price,requested
38,newyork,2021-11-27 17:37, (Brooklyn brooklyn ),1 Bedroom for rent,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-bedroom-for-rent/7413429473.html,60,2021-11-27 17h26m47s
39,newyork,2021-11-27 17:24, ( brooklyn ),Master Suite 2BR in 4BR Apt,2,,https://newyork.craigslist.org/brk/roo/d/brooklyn-master-suite-2br-in-4br-apt/7402063821.html,1600,2021-11-27 17h26m47s
40,newyork,2021-11-27 17:15, (Downtown),WELL LOCATED BRIGHT PRIVATE ROOM: LEASE THRU MARCH 2022,,,https://newyork.craigslist.org/mnh/roo/d/brooklyn-well-located-bright-private/7413413615.html,850,2021-11-27 17h26m47s
41,newyork,2021-11-27 17:09, ( bronx ),Free Place to Stay(Women),,,https://newyork.craigslist.org/brx/roo/d/bronx-free-place-to-staywomen/7401713392.html,0,2021-11-27 17h26m47s
42,newyork,2021-11-27 17:05, (Lower East Side manhattan ),***Live your New York Dream Right Now! in this Big Bohemian Bedroom***,,,https://newyork.craigslist.org/mnh/roo/d/new-york-live-your-new-york-dream-right/7413419729.html,1499,2021-11-27 17h26m47s
43,newyork,2021-11-27 17:00, (BUSHWICK brooklyn ),WELL LOCATED BRIGHT PRIVATE ROOM: LEASE THRU MARCH 2022,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-well-located-bright-private/7413411961.html,850,2021-11-27 17h26m47s
44,newyork,2021-11-27 17:00, (Bedford Stuyvesant brooklyn ),Single room in brownstone|Utilities included,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-single-room-in/7413417645.html,950,2021-11-27 17h26m47s
45,newyork,2021-11-27 16:47, (Elmhurst queens ),3 Bedroom by Queens Blvd by Owner,3,1200.0,https://newyork.craigslist.org/que/roo/d/elmhurst-bedroom-by-queens-blvd-by-owner/7403146240.html,2750,2021-11-27 17h26m47s
46,newyork,2021-11-27 16:46, (Elmhurst queens ),Studio in a private house available for rent by Owner now,,850.0,https://newyork.craigslist.org/que/roo/d/elmhurst-studio-in-private-house/7404967694.html,1600,2021-11-27 17h26m47s
47,newyork,2021-11-27 16:44, (Manhattan manhattan ),Female wanted for share in great free apt,1,,https://newyork.craigslist.org/mnh/roo/d/new-york-female-wanted-for-share-in/7401766054.html,0,2021-11-27 17h26m47s
48,newyork,2021-11-27 16:42, (Bedford Stuyvesant brooklyn ),Very large single room in brownstone|Utilities included,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-very-large-single-room-in/7413409615.html,1300,2021-11-27 17h26m47s
49,newyork,2021-11-27 16:27, (Bedstuy G / M trains brooklyn ),"Large Sunny Room w/Loft in Modern Apartment - Patio, Yard, Roof",,,https://newyork.craigslist.org/brk/roo/d/brooklyn-large-sunny-room-loft-in/7411159209.html,1075,2021-11-27 17h26m47s
50,newyork,2021-11-27 16:21, ( manhattan ),2br - 115ft2 - *_* Large Unfurnished Bedroom / Stuytown,,,https://newyork.craigslist.org/mnh/roo/d/new-york-2br-115ft2-large-unfurnished/7410072041.html,400,2021-11-27 17h26m47s
51,newyork,2021-11-27 16:19, (East Elmhurst queens ),Full furnished in East Elmhurst$900a month.,1,,https://newyork.craigslist.org/que/roo/d/east-elmhurst-full-furnished-in-east/7403836340.html,900,2021-11-27 17h26m47s
52,newyork,2021-11-27 16:11, (Chinatown / Lit Italy),Room for rent in Chinatown condo. Furnished. Must be vaxxed.,,,https://newyork.craigslist.org/mnh/roo/d/new-york-city-room-for-rent-in/7413395931.html,1100,2021-11-27 17h26m47s
53,newyork,2021-11-27 16:10," (Wilton fairfield co, CT )",Furnished Room with ensuite to Rent,1,240.0,https://newyork.craigslist.org/fct/roo/d/wilton-furnished-room-with-ensuite-to/7413395237.html,900,2021-11-27 17h26m47s
54,newyork,2021-11-27 16:06, (BUSHWICK brooklyn ),"HUGE FURNISHED UTILITIES-INCLUDED ROOM PRIVATE BATH DEC 1 J,M,L TRAINS",,,https://newyork.craigslist.org/brk/roo/d/brooklyn-huge-furnished-utilities/7409233801.html,2000,2021-11-27 17h26m47s
55,newyork,2021-11-27 15:59, (Brooklyn brooklyn ),Very Large Room near Prospect Park - All Utilities Included,3,160.0,https://newyork.craigslist.org/brk/roo/d/brooklyn-very-large-room-near-prospect/7413361305.html,1045,2021-11-27 17h26m47s
56,newyork,2021-11-27 15:55, (Jackson Heights queens ),Single room including utilities and WiFi,,,https://newyork.craigslist.org/que/roo/d/east-elmhurst-single-room-including/7413385849.html,650,2021-11-27 17h26m47s
57,newyork,2021-11-27 15:53, (Jackson Heights queens ),habitación individual con servicios públicos y WiFi incluido,,,https://newyork.craigslist.org/que/roo/d/east-elmhurst-habitacin-individual-con/7413387187.html,650,2021-11-27 17h26m47s
58,newyork,2021-11-27 15:49, (Williamsburg Brooklyn brooklyn ),Room for sublet,1,,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-for-sublet/7413385383.html,1000,2021-11-27 17h26m47s
59,newyork,2021-11-27 15:45, (East Harlem),Quiet Furnished Room Facing Yard,,95.0,https://newyork.craigslist.org/mnh/roo/d/new-york-quiet-furnished-room-facing/7410666730.html,959,2021-11-27 17h26m47s
60,newyork,2021-11-27 15:42, (White Plains westchester ),studio,,450.0,https://newyork.craigslist.org/wch/roo/d/white-plains-studio/7413382363.html,1400,2021-11-27 17h26m47s
61,newyork,2021-11-27 15:33, (Flushing queens ),bed room,,,https://newyork.craigslist.org/que/roo/d/flushing-bed-room/7413363740.html,600,2021-11-27 17h26m47s
62,newyork,2021-11-27 15:29," (EAST NEW YORK, BROOKLYN brooklyn )",FEMALE TENANT WANTED. $75.00 WEEKLY.,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-female-tenant-wanted-7500/7413376122.html,75,2021-11-27 17h26m47s
63,newyork,2021-11-27 15:18, (Midtown East),... Sunny Private Room - Lux Blng - Roosevelt Island,4,120.0,https://newyork.craigslist.org/mnh/roo/d/new-york-sunny-private-room-lux-blng/7413370663.html,1400,2021-11-27 17h26m47s
64,newyork,2021-11-27 15:18, (Gramercy),*_* Largee Unfurnished Room / Stuytown /,3,120.0,https://newyork.craigslist.org/mnh/roo/d/new-york-largee-unfurnished-room/7413370315.html,1600,2021-11-27 17h26m47s
65,newyork,2021-11-27 15:17, (Upper Manhattan manhattan ),**  Peace and Quiet in Manhattan Apt Share  **,2,1200.0,https://newyork.craigslist.org/mnh/roo/d/new-york-peace-and-quiet-in-manhattan/7402488134.html,1246,2021-11-27 17h26m47s
66,newyork,2021-11-27 15:07, (Newport Jersey City new jersey ),Furnished Room for female,3,1100.0,https://newyork.craigslist.org/jsy/roo/d/jersey-city-furnished-room-for-female/7403972892.html,1150,2021-11-27 17h26m47s
67,newyork,2021-11-27 15:06, (Harlem / Morningside),1200$ Furnished room 1 roomate only,2,1.0,https://newyork.craigslist.org/mnh/roo/d/new-york-1200-furnished-room-roomate/7413362288.html,1200,2021-11-27 17h26m47s
68,newyork,2021-11-27 14:59, (Bronx bronx ),1 Quiet Room for Rent,4,,https://newyork.craigslist.org/brx/roo/d/bronx-quiet-room-for-rent/7403097493.html,1020,2021-11-27 17h26m47s
69,newyork,2021-11-27 14:57, (Midtown West),Dec in created semi private section within the unit,,,https://newyork.craigslist.org/mnh/roo/d/new-york-dec-in-created-semi-private/7413359563.html,875,2021-11-27 17h26m47s
70,newyork,2021-11-27 14:53, (Harlem / Morningside),Doorman Building in Harlem,2,,https://newyork.craigslist.org/mnh/roo/d/new-york-doorman-building-in-harlem/7409102633.html,1300,2021-11-27 17h26m47s
71,newyork,2021-11-27 14:51, (VILLAGE AREA manhattan ),2br apt share and back yard garden,2,,https://newyork.craigslist.org/mnh/roo/d/new-york-2br-apt-share-and-back-yard/7413356209.html,2000,2021-11-27 17h26m47s
72,newyork,2021-11-27 14:45, (Williamsburg brooklyn ),{NOW} Williamsburg : Short Term Furnished Room : Block to L !,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-now-williamsburg-short-term/7412292385.html,1250,2021-11-27 17h26m47s
73,newyork,2021-11-27 14:42, (Midtown West),NO FEE FULLY FURNISHED/LONG/ SHORT TERM,1,600.0,https://newyork.craigslist.org/mnh/roo/d/new-york-no-fee-fully-furnished-long/7413334004.html,2900,2021-11-27 17h26m47s
74,newyork,2021-11-27 14:39, (QUEENS / OZONE PARK queens ),"Roommate for spacious 2 br apt. Inc WIFI, Internet, Utilities, Furnish",2,,https://newyork.craigslist.org/que/roo/d/ozone-park-roommate-for-spacious-br-apt/7413350099.html,1300,2021-11-27 17h26m47s
75,newyork,2021-11-27 14:30, (Brooklyn brooklyn ),insanely sunny bedroom laundry in unit- G @ bedford ave DEC 1,3,,https://newyork.craigslist.org/brk/roo/d/brooklyn-insanely-sunny-bedroom-laundry/7408707446.html,925,2021-11-27 17h26m47s
76,newyork,2021-11-27 14:23, (Midtown West),mom of 4 needs extra cash,,,https://newyork.craigslist.org/mnh/roo/d/new-york-mom-of-needs-extra-cash/7413341658.html,700,2021-11-27 17h26m47s
77,newyork,2021-11-27 14:23, (bronx bronx ),Room for rent..no credit check..close to tranportation,1,,https://newyork.craigslist.org/brx/roo/d/bronx-room-for-rentno-credit-checkclose/7413325151.html,800,2021-11-27 17h26m47s
78,newyork,2021-11-27 14:19, (East Village),"💖 Big Bedrooms In Large Apt - Gorgeous, Rare Find - A Must See!!! 💖",,1700.0,https://newyork.craigslist.org/mnh/roo/d/new-york-big-bedrooms-in-large-apt/7413339179.html,2500,2021-11-27 17h26m47s
